TIMESTAMP | ROBOT | TOPIC | X | Y | YAW(deg)
03:29:52.768 | iw_hub_5 | AMCL | X: 3.70 | Y: 13.64 | Yaw: 80.14°
03:29:54.114 | iw_hub_5 | AMCL | X: 3.75 | Y: 13.91 | Yaw: 80.25°
03:29:55.347 | iw_hub_5 | AMCL | X: 3.78 | Y: 14.18 | Yaw: 82.50°
03:29:56.467 | iw_hub_3 | AMCL | X: 1.40 | Y: 5.96 | Yaw: -1.04°
03:29:56.824 | iw_hub_5 | AMCL | X: 3.82 | Y: 14.43 | Yaw: 82.08°
03:29:57.877 | iw_hub_3 | AMCL | X: 1.65 | Y: 5.95 | Yaw: -0.56°
03:29:59.094 | iw_hub_3 | AMCL | X: 1.90 | Y: 5.94 | Yaw: -0.97°
03:30:01.544 | iw_hub_3 | AMCL | X: 2.14 | Y: 5.93 | Yaw: -2.80°
03:30:03.573 | iw_hub_5 | AMCL | X: 3.86 | Y: 14.67 | Yaw: 79.13°
03:30:10.408 | iw_hub_2 | AMCL | X: 3.65 | Y: 2.99 | Yaw: -1.86°
03:30:11.986 | iw_hub_5 | AMCL | X: 3.88 | Y: 14.82 | Yaw: 92.00°
03:30:15.980 | iw_hub_2 | AMCL | X: 3.66 | Y: 3.00 | Yaw: 9.36°
03:30:16.420 | iw_hub_3 | AMCL | X: 2.41 | Y: 5.92 | Yaw: 0.72°
03:30:18.096 | iw_hub_3 | AMCL | X: 2.66 | Y: 5.94 | Yaw: 3.37°
03:30:18.097 | iw_hub_5 | AMCL | X: 3.88 | Y: 14.83 | Yaw: 104.46°
03:30:20.298 | iw_hub_3 | AMCL | X: 2.93 | Y: 5.93 | Yaw: 3.29°
03:30:22.235 | iw_hub_2 | AMCL | X: 3.68 | Y: 3.00 | Yaw: 21.48°
03:30:25.316 | iw_hub_2 | AMCL | X: 3.67 | Y: 3.00 | Yaw: 33.95°
03:30:27.306 | iw_hub_5 | AMCL | X: 3.82 | Y: 15.06 | Yaw: 107.25°
03:30:27.449 | iw_hub_3 | AMCL | X: 3.20 | Y: 5.93 | Yaw: -2.10°
03:30:29.100 | iw_hub_5 | AMCL | X: 3.75 | Y: 15.30 | Yaw: 103.44°
03:30:29.251 | iw_hub_2 | AMCL | X: 3.67 | Y: 2.99 | Yaw: 45.41°
03:30:30.369 | iw_hub_5 | AMCL | X: 3.70 | Y: 15.57 | Yaw: 100.21°
03:30:31.548 | iw_hub_5 | AMCL | X: 3.65 | Y: 15.80 | Yaw: 102.70°
03:30:32.740 | iw_hub_5 | AMCL | X: 3.57 | Y: 16.08 | Yaw: 107.85°
03:30:33.081 | iw_hub_3 | AMCL | X: 3.46 | Y: 5.94 | Yaw: -1.81°
03:30:34.415 | iw_hub_5 | AMCL | X: 3.49 | Y: 16.34 | Yaw: 108.23°
03:30:38.820 | iw_hub_5 | AMCL | X: 3.44 | Y: 16.56 | Yaw: 98.90°
03:30:40.373 | iw_hub_3 | AMCL | X: 3.50 | Y: 5.94 | Yaw: -13.99°
03:30:40.526 | iw_hub_5 | AMCL | X: 3.43 | Y: 16.82 | Yaw: 95.39°
03:30:42.062 | iw_hub_5 | AMCL | X: 3.41 | Y: 17.10 | Yaw: 97.41°
03:30:43.619 | iw_hub_5 | AMCL | X: 3.37 | Y: 17.37 | Yaw: 98.64°
03:30:45.042 | iw_hub_2 | AMCL | X: 3.67 | Y: 2.99 | Yaw: 57.45°
03:30:47.944 | iw_hub_5 | AMCL | X: 3.35 | Y: 17.64 | Yaw: 97.65°
03:30:50.628 | iw_hub_2 | AMCL | X: 3.67 | Y: 2.98 | Yaw: 68.58°
03:30:55.531 | iw_hub_3 | AMCL | X: 3.58 | Y: 5.92 | Yaw: -2.44°
03:30:57.989 | iw_hub_5 | AMCL | X: 3.35 | Y: 17.88 | Yaw: 85.36°
